Symbol	Ensembl
DNAJC19P8	ENST00000452887
RP11-522M21.2	ENST00000418402
RP11-522M21.3	ENST00000414565
SMYD3	ENST00000490107
RP11-83A16.1	ENST00000426386
SMYD3-AS1	ENST00000443763
CHCHD4P5	ENST00000436684
SMYD3-IT1	ENST00000426929
RP11-690C23.4	ENST00000398739
LINC01743	ENST00000366308
RP11-690C23.5	ENST00000412354
RP11-690C23.3	ENST00000426536
TFB2M	ENST00000366514
CNST	ENST00000366513
RP11-1086F11.1	ENST00000417786
RP11-452J6.2	ENST00000449978
RP11-439E19.9	ENST00000570141
RP11-439E19.7	ENST00000442712
SCCPDH	ENST00000366510
RPL35AP6	ENST00000413092
KIF28P	ENST00000504864
RP11-439E19.10	ENST00000567832
LINC01341	ENST00000421003
RP11-397A15.4	ENST00000433897
AHCTF1	ENST00000648844
ZNF670-ZNF695	ENST00000465049
ZNF695	ENST00000339986
RP11-551G24.3	ENST00000431287
ZNF670	ENST00000366503
RP11-551G24.2	ENST00000439523
RP11-107G24.3	ENST00000414775
ZNF669	ENST00000448299
RP11-107G24.4	ENST00000659037
C1orf229	ENST00000623686
FGFR3P6	ENST00000457012
ZNF124	ENST00000543802
RP11-488L18.6	ENST00000452704
RP11-488L18.3	ENST00000400933
RP11-488L18.10	ENST00000566446
ZNF731P	ENST00000421406
RNA5SP82	ENST00000516707
RP11-488L18.8	ENST00000428687
RP11-488L18.1	ENST00000397642
VN1R17P	ENST00000472048
VN1R5	ENST00000472952
ZNF496	ENST00000682384
RP11-433K2.8	ENST00000652491
RP11-433K2.9	ENST00000665024
NLRP3	ENST00000336119
OR2B11	ENST00000641149
OR2W5P	ENST00000366492
OR2C3	ENST00000641802
GCSAML	ENST00000366488
RP11-978I15.10	ENST00000435333
OR2G2	ENST00000320065
OR2G3	ENST00000320002
OR14L1P	ENST00000641545
RP11-634B7.4	ENST00000662798
OR3D1P	ENST00000438288
OR13G1	ENST00000642119
OR6F1	ENST00000641470
RP11-634B7.5	ENST00000419891
OR14A2	ENST00000366485
OR14K1	ENST00000283225
OR1C1	ENST00000641256
OR9H1P	ENST00000446393
OR14A16	ENST00000641093
HSD17B7P1	ENST00000412419
OR6R1P	ENST00000431838
OR11L1	ENST00000355784
TRIM58	ENST00000366481
OR2W3	ENST00000360358
OR2T8	ENST00000641945
OR2AJ1	ENST00000318244
CLK3P2	ENST00000427566
OR2X1P	ENST00000421144
OR2L8	ENST00000623922
OR2AK2	ENST00000366480
OR2L9P	ENST00000444456
OR2L1P	ENST00000422727
OR2L6P	ENST00000416377
OR2L5	ENST00000355281
OR2L2	ENST00000641771
OR2L3	ENST00000359959
OR2T32P	ENST00000403423
OR2L13	ENST00000641714
OR2M1P	ENST00000318104
OR2M5	ENST00000366476
OR2M2	ENST00000641836
OR2M3	ENST00000641626
OR2M4	ENST00000641868
OR2T33	ENST00000641220
OR2T12	ENST00000641276
OR2M7	ENST00000317965
OR14C36	ENST00000317861
OR2T6	ENST00000641644
OR2T1	ENST00000642005
OR2T7	ENST00000641057
OR2T2	ENST00000642130
OR2T3	ENST00000359594
RP11-407H12.8	ENST00000450847
OR2T5	ENST00000641363
OR2AS2P	ENST00000606902
OR2G6	ENST00000641804
RP11-438F14.3	ENST00000438623
OR2AS1P	ENST00000427827
OR2T29	ENST00000641069
OR2T34	ENST00000328782
OR2T10	ENST00000642090
RP11-438F14.10	ENST00000603158
OR2T11	ENST00000641193
OR2T35	ENST00000641268
RP11-438F14.11	ENST00000651827
OR14I1	ENST00000342623
LYPD9P	ENST00000636515
WI2-2118C23.2	ENST00000612533
AHCYP8	ENST00000425108
DPY19L4P1	ENST00000427780
SH3BP5L	ENST00000366472
ZNF672	ENST00000306562
ZNF692	ENST00000306601
AL672294.1	ENST00000417047
PGBD2	ENST00000329291
RPL23AP25	ENST00000430973
RP11-631M21.1	ENST00000682078
FAM166AP7	ENST00000416477
TUBB8	ENST00000568584
IL9RP2	ENST00000423948
ZMYND11	ENST00000381604
RP11-631M21.7	ENST00000619384
RNA5SP297	ENST00000391029
DIP2C	ENST00000280886
RNA5SP298	ENST00000364991
RP11-490E15.2	ENST00000425723
RP11-809C18.3	ENST00000451601
DIP2C-AS1	ENST00000381489
RP11-164C1.2	ENST00000412695
LARP4B	ENST00000316157
RP11-363N22.2	ENST00000435531
RP11-363N22.3	ENST00000381466
GTPBP4	ENST00000360803
IDI2	ENST00000277517
IDI2-AS1	ENST00000665330
IDI1	ENST00000381344
WDR37	ENST00000263150
LINC00200	ENST00000655745
ADARB2	ENST00000381312
RP11-29A19.3	ENST00000658498
RP11-29A19.2	ENST00000632982
RP11-398B16.2	ENST00000432987
ADARB2-AS1	ENST00000421697
RP11-358N3.1	ENST00000653889
LINC00700	ENST00000671670
RP11-69C17.2	ENST00000435539
RP11-69C17.3	ENST00000658923
LINC02662	ENST00000436003
LINC00701	ENST00000418295
LINC02645	ENST00000666064
RP11-526P5.1	ENST00000431209
RP11-526P5.2	ENST00000656797
RP11-58N22.1	ENST00000671591
RP11-89K18.1	ENST00000419388
RP11-118K6.2	ENST00000439575
RP11-118K6.5	ENST00000658425
PFKP-DT	ENST00000607898
PFKP	ENST00000381125
RP11-298E9.7	ENST00000441377
PITRM1	ENST00000224949
PITRM1-AS1	ENST00000598280
RP11-298E9.8	ENST00000663204
RP11-298E9.5	ENST00000445932
LINC02668	ENST00000669318
RP11-195B3.1	ENST00000436340
RP11-195B3.3	ENST00000662361
RP11-195B3.2	ENST00000657119
RP11-453F1.1	ENST00000661754
LINC02669	ENST00000660786
RP11-482E14.2	ENST00000654955
RP11-184A2.3	ENST00000661014
RP11-184A2.2	ENST00000415358
KLF6	ENST00000497571
RP11-464C19.4	ENST00000668154
LINC02639	ENST00000413339
LINC02660	ENST00000664393
RP11-433J20.2	ENST00000667089
RP11-433J20.1	ENST00000455199
LINC00702	ENST00000608792
LINC00703	ENST00000454152
RP11-34C15.2	ENST00000420082
RP11-34C15.4	ENST00000668998
RP11-34C15.3	ENST00000660243
MANCR	ENST00000430998
LINC00705	ENST00000665287
RP11-396D16.1	ENST00000670284
AKR1E2	ENST00000298375
AKR1C6P	ENST00000432950
AKR1C1	ENST00000380872
AKR1C2	ENST00000380753
RP11-499O7.7	ENST00000451575
AKR1C3	ENST00000380554
AKR1C5P	ENST00000427165
AKR1C8P	ENST00000648824
AKR1C4	ENST00000263126
ARL4AP3	ENST00000441452
RP11-445P17.9	ENST00000656002
RP11-445P17.3	ENST00000428920
LINC02561	ENST00000449457
AKR1C7P	ENST00000305623
RPL26P28	ENST00000451325
XXyac-YR21CG7.1	ENST00000624104
UCN3	ENST00000380433
TUBAL3	ENST00000380419
NET1	ENST00000355029
CALML5	ENST00000380332
CALML3-AS1	ENST00000543008
CALML3	ENST00000315238
RP11-116G8.5	ENST00000442008
RP11-116G8.7	ENST00000668112
RP11-116G8.8	ENST00000664654
LASTR	ENST00000675199
RP11-336A10.7	ENST00000441526
ASB13	ENST00000357700
TASOR2	ENST00000328090
RP11-336A10.2	ENST00000411512
GDI2	ENST00000380191
NRBF2P5	ENST00000603087
RP11-318E3.9	ENST00000608273
ANKRD16	ENST00000380094
RPL12P28	ENST00000430852
FBH1	ENST00000362091
RP11-536K7.3	ENST00000397264
IL15RA	ENST00000379977
IL2RA	ENST00000379959
RP11-536K7.5	ENST00000440436
RPL32P23	ENST00000397237
RBM17	ENST00000379888
RP11-414H17.5	ENST00000427630
PFKFB3	ENST00000379775
LINC02649	ENST00000659311
SDCBPP1	ENST00000440192
LINC02656	ENST00000391437
PRKCQ	ENST00000263125
PRKCQ-AS1	ENST00000615210
LINC02648	ENST00000448835
RP11-799O21.4	ENST00000650342
LINP1	ENST00000417112
RP11-799O21.3	ENST00000648995
LINC00706	ENST00000628989
LINC00707	ENST00000436383
RP11-799O21.5	ENST00000650205
RP11-799O21.2	ENST00000664549
LINC02665	ENST00000420049
RP11-393K12.4	ENST00000604136
SFMBT2	ENST00000397167
COX6CP17	ENST00000421389
RP5-1031D4.3	ENST00000623134
LINC02642	ENST00000670632
RP11-385N23.1	ENST00000414631
ITIH5	ENST00000397146
ITIH2	ENST00000358415
KIN	ENST00000379562
ATP5F1C	ENST00000356708
TAF3	ENST00000344293
RP11-401E9.3	ENST00000440219
GATA3-AS1	ENST00000355358
RP11-379F12.4	ENST00000418270
GATA3	ENST00000379328
PRPF38AP1	ENST00000451976
LINC00708	ENST00000657469
RP5-1119O21.2	ENST00000413941
RP11-543F8.2	ENST00000413286
RP11-543F8.3	ENST00000603398
KRT8P37	ENST00000451609
CHCHD3P1	ENST00000425516
RNA5SP299	ENST00000391203
RP11-575N15.1	ENST00000605632
LINC02676	ENST00000447297
RP11-428L9.2	ENST00000456526
LINC00709	ENST00000458168
RP4-660B20.2	ENST00000658214
HSP90AB7P	ENST00000450068
LINC02663	ENST00000647601
LINC02670	ENST00000429539
ELOCP3	ENST00000439303
CUX2P1	ENST00000606426
RP11-26K22.2	ENST00000664907
RP11-271F18.1	ENST00000455871
CELF2-DT	ENST00000670890
RP11-271F18.3	ENST00000623982
RP11-271F18.5	ENST00000655007
RP1-186E20.1	ENST00000448495
SFTA1P	ENST00000660024
LINC00710	ENST00000666257
RP1-251M9.2	ENST00000420825
RP1-251M9.3	ENST00000437825
CELF2-AS2	ENST00000432370
CELF2	ENST00000354897
RP3-323N1.2	ENST00000417273
CELF2-AS1	ENST00000379256
RP11-544P1.3	ENST00000624657
USP6NL	ENST00000609104
USP6NL-AS1	ENST00000604634
RP11-138I18.2	ENST00000604086
ECHDC3	ENST00000379215
PROSER2	ENST00000277570
PROSER2-AS1	ENST00000445498
UPF2	ENST00000357604
DHTKD1	ENST00000263035
SEC61A2	ENST00000298428
NUDT5	ENST00000491614
CDC123	ENST00000281141
RP11-186N15.3	ENST00000421657
CAMK1D	ENST00000619168
RP11-495F22.1	ENST00000648650
RP11-141H1.1	ENST00000649832
CCDC3	ENST00000378825
RNA5SP300	ENST00000391197
RPL5P25	ENST00000441148
OPTN	ENST00000378747
SNRPGP5	ENST00000456003
RP11-730A19.9	ENST00000442321
RP11-730A19.5	ENST00000442900
BTBD7P1	ENST00000447253
RPL36AP36	ENST00000418616
MCM10	ENST00000378714
UCMA	ENST00000378681
PHYH	ENST00000263038
RBISP1	ENST00000429930
SEPHS1	ENST00000327347
RP11-445K13.3	ENST00000658137
RP11-445K13.2	ENST00000448272
BEND7	ENST00000466271
RP11-214D15.2	ENST00000438431
PRPF18	ENST00000378572
RPL6P24	ENST00000445338
RP11-295P9.13	ENST00000601460
RP11-295P9.3	ENST00000597920
FRMD4A	ENST00000357447
RP11-295P9.12	ENST00000609756
RP11-295P9.6	ENST00000412388
RNA5SP301	ENST00000362537
RP11-353M9.1	ENST00000449462
NUTF2P5	ENST00000475013
RP11-142M10.2	ENST00000446193
RP11-397C18.2	ENST00000451617
RP11-393E10.1	ENST00000648484
FAM107B	ENST00000181796
RP11-7C6.1	ENST00000443282
RNA5SP302	ENST00000364896
RPSAP7	ENST00000456871
CDNF	ENST00000465530
RP11-398C13.8	ENST00000640019
HSPA14	ENST00000378372
SUV39H2-DT	ENST00000609399
SUV39H2	ENST00000354919
DCLRE1C	ENST00000378278
MEIG1	ENST00000407572
OR7E110P	ENST00000431186
OR7E26P	ENST00000502808
OR7E115P	ENST00000382617
DCLRE1CP1	ENST00000454630
OLAH	ENST00000378228
ACBD7	ENST00000356189
GAPDHP45	ENST00000452090
RPP38-DT	ENST00000624760
RPP38	ENST00000378197
NMT2	ENST00000378165
PPIAP30	ENST00000415473
RP11-455B2.9	ENST00000450788
FAM171A1	ENST00000378116
RP11-25G10.2	ENST00000433455
ITGA8	ENST00000378076
MINDY3	ENST00000277632
FTLP19	ENST00000433300
LINC02654	ENST00000652949
PTER	ENST00000535784
C1QL3	ENST00000298943
RP11-335J9.1	ENST00000666263
RSU1	ENST00000345264
RP11-197M22.2	ENST00000421480
RP11-416D8.2	ENST00000655281
CUBN	ENST00000377833
RP11-406H21.2	ENST00000608026
TRDMT1	ENST00000377799
VIM-AS1	ENST00000661048
VIM	ENST00000544301
RP11-124N14.3	ENST00000456355
ST8SIA6	ENST00000377602
ST8SIA6-AS1	ENST00000657045
PRPF38AP2	ENST00000438179
HACD1	ENST00000361271
STAM-AS1	ENST00000563601
STAM	ENST00000377524
RP11-390B4.3	ENST00000445235
TMEM236	ENST00000377495
RP11-457D2.3	ENST00000442231
SLC39A12	ENST00000377369
SLC39A12-AS1	ENST00000439319
CACNB2	ENST00000324631
RP11-109I13.2	ENST00000626127
RP11-499P20.2	ENST00000425669
RP11-383B4.4	ENST00000433526
NSUN6	ENST00000377304
ARL5B	ENST00000377275
RP11-139J15.5	ENST00000654305
AIFM1P1	ENST00000413342
RP11-288D15.1	ENST00000441557
MALRD1	ENST00000454679
UBE2V2P1	ENST00000434717
RP11-49L2.1	ENST00000426818
HMGN1P20	ENST00000411849
RP11-265G8.3	ENST00000427935
RNA5SP303	ENST00000516192
RP11-354E11.2	ENST00000451713
MTND1P37	ENST00000636562
MTND2P16	ENST00000419987
RP11-188P8.4	ENST00000647925
PLXDC2	ENST00000377252
RP11-575A19.2	ENST00000451584
RP11-575A19.3	ENST00000667650
AMD1P1	ENST00000457220
RP11-51E20.1	ENST00000604920
NEBL	ENST00000377122
MTND1P21	ENST00000412991
RP11-56H7.2	ENST00000452981
EIF4BP2	ENST00000416702
NPM1P30	ENST00000425092
NEBL-AS1	ENST00000439097
RP11-565H13.3	ENST00000457930
LUZP4P1	ENST00000415420
LINC02643	ENST00000433460
RNMTL1P1	ENST00000454103
RP11-275N1.3	ENST00000619266
MIR1915HG	ENST00000658000
SKIDA1	ENST00000449193
RP11-418C1.7	ENST00000671070
MLLT10	ENST00000307729
HNRNPRP1	ENST00000453465
DNAJC1	ENST00000376980
RP11-399C16.3	ENST00000624879
ADIPOR1P1	ENST00000435632
RP11-108B14.1	ENST00000426134
EBLN1	ENST00000422359
RP11-108B14.5	ENST00000564681
PSME2P6	ENST00000426373
RP11-108B14.6	ENST00000665142
RP11-573G6.4	ENST00000623583
RP11-573G6.6	ENST00000566763
RPL31P45	ENST00000419532
COMMD3	ENST00000376836
COMMD3-BMI1	ENST00000602390
BMI1	ENST00000376663
RP11-573G6.9	ENST00000606988
RP11-573G6.8	ENST00000607282
RP11-573G6.10	ENST00000607385
SPAG6	ENST00000376624
RP11-301N24.3	ENST00000422675
RP11-301N24.6	ENST00000652874
RP11-301N24.5	ENST00000674076
PIP4K2A	ENST00000376573
RP11-142L16.2	ENST00000624564
ARMC3	ENST00000298032
RP11-379L21.1	ENST00000655462
RNA5SP304	ENST00000411199
MSRB2	ENST00000376510
YWHAZP3	ENST00000415292
PTF1A	ENST00000376504
C10orf67	ENST00000636213
RP11-215C7.3	ENST00000422120
RP11-371A19.2	ENST00000443224
OTUD1	ENST00000376495
RP11-426A21.2	ENST00000668836
RP11-426A21.3	ENST00000669232
NUP35P1	ENST00000422734
KIAA1217	ENST00000376454
RP11-429A24.1	ENST00000664888
RP11-144I2.1	ENST00000624195
ARHGAP21	ENST00000396432
RNA5SP305	ENST00000362665
RP11-129O7.3	ENST00000649039
PRTFDC1	ENST00000320152
RP11-129O7.2	ENST00000446973
RP11-80K21.4	ENST00000648191
RP11-165A20.3	ENST00000610158
ENKUR	ENST00000331161
THNSL1	ENST00000376356
LINC01516	ENST00000436140
GPR158-AS1	ENST00000449643
GPR158	ENST00000376351
RP11-20I6.1	ENST00000613843
GPN3P1	ENST00000423883
LINC00836	ENST00000626230
HIRAP1	ENST00000605318
RNA5SP306	ENST00000411087
RP11-435M3.2	ENST00000452911
MYO3A	ENST00000642920
GAD2	ENST00000376261
RP11-417A17.1	ENST00000646813
APBB1IP	ENST00000376236
RNA5SP307	ENST00000362863
RP11-128B16.5	ENST00000637960
FAM238A	ENST00000637359
RP13-16H11.7	ENST00000454991
FAM238B	ENST00000612040
SELENOOLP	ENST00000636744
RP13-16H11.8	ENST00000623958
PDSS1	ENST00000376215
HSPA8P3	ENST00000449300
RP13-16H11.5	ENST00000458171
ABI1	ENST00000376140
FAM238C	ENST00000640641
ANKRD26	ENST00000376087
YME1L1	ENST00000376016
MASTL	ENST00000375940
ACBD5	ENST00000396271
RP11-85G18.6	ENST00000574842
LRRC37A6P	ENST00000448648
ODAD2P1	ENST00000438905
RP11-748L13.7	ENST00000618530
RP11-748L13.2	ENST00000422707
LINC02673	ENST00000568270
FAM210CP	ENST00000445714
TRIAP1P1	ENST00000427062
PTCHD3	ENST00000642324
RAB18	ENST00000356940
LINC02680	ENST00000649291
MKX	ENST00000419761
MKX-AS1	ENST00000419777
ODAD2	ENST00000305242
RPL36AP55	ENST00000454114
RP11-218D6.4	ENST00000425137
MRPS21P5	ENST00000417885
MPP7	ENST00000683449
RP11-360P7.1	ENST00000663599
MPP7-DT	ENST00000634334
ZNF101P1	ENST00000435701
LINC02652	ENST00000421132
RPSAP10	ENST00000426103
WAC-AS1	ENST00000527986
WAC	ENST00000354911
TPRKBP1	ENST00000456243
BAMBI	ENST00000375533
LINC01517	ENST00000646289
RP11-478H13.1	ENST00000456082
LINC00837	ENST00000443246
RP11-478H13.4	ENST00000604686
RNA5SP308	ENST00000362532
RPL21P93	ENST00000480465
LYZL1	ENST00000649382
RP11-534G20.5	ENST00000658254
SVIL-AS1	ENST00000646086
SVIL	ENST00000355867
CKS1BP2	ENST00000497342
RP11-224P11.1	ENST00000441292
JCAD	ENST00000375377
EEF1A1P39	ENST00000440791
RP11-305E6.4	ENST00000561542
MTPAP	ENST00000263063
RP11-305E6.5	ENST00000650129
DNM1P17	ENST00000512082
GOLGA2P6	ENST00000340929
NIFKP1	ENST00000398317
RP11-449I17.9	ENST00000440882
CCND3P1	ENST00000438347
MAP3K8	ENST00000263056
HNRNPA1P32	ENST00000396326
RP11-253D19.4	ENST00000670247
RP11-253D19.1	ENST00000440932
RP11-253D19.2	ENST00000426067
RP11-253D19.3	ENST00000648759
LYZL2	ENST00000647634
SVIL2P	ENST00000422642
LINC02644	ENST00000416310
RP11-330O11.3	ENST00000608729
ZNF438	ENST00000413025
DDX10P1	ENST00000448545
RP11-125C10.1	ENST00000658872
LINC02664	ENST00000605929
ZEB1-AS1	ENST00000605946
RNA5SP309	ENST00000516670
ZEB1	ENST00000424869
SPTLC1P1	ENST00000447199
RP11-192P3.5	ENST00000649292
RP11-472N13.2	ENST00000649682
RP11-472N13.6	ENST00000662998
GLUDP5	ENST00000414627
MACORIS	ENST00000433770
ARHGAP12	ENST00000344936
HMGB1P7	ENST00000450921
RPL34P19	ENST00000415903
KIF5B	ENST00000302418
RPS4XP11	ENST00000446897
RP11-241I20.4	ENST00000435436
RP11-241I20.5	ENST00000437408
PPIAP31	ENST00000405422
RPS24P13	ENST00000442520
RP11-166N17.1	ENST00000415731
EPC1	ENST00000319778
RP11-166N17.3	ENST00000419441
RP11-135A24.4	ENST00000412085
RP11-135A24.2	ENST00000417447
RP11-135A24.5	ENST00000658560
CCDC7	ENST00000639629
C1DP1	ENST00000426049
ITGB1	ENST00000302278
AK3P5	ENST00000432033
ITGB1-DT	ENST00000450890
MTND4LP11	ENST00000422184
RP11-479G22.7	ENST00000423444
RPL7AP53	ENST00000468834
IATPR	ENST00000414308
NRP1	ENST00000374867
RP11-342D11.2	ENST00000451530
RP11-90B22.1	ENST00000608148
RP13-459H7.1	ENST00000654047
LINC02628	ENST00000457848
RP13-259N13.2	ENST00000366376
LINC00838	ENST00000658358
RPL23P11	ENST00000418077
LINC02629	ENST00000434552
PARD3	ENST00000374788
ELOBP4	ENST00000423418
RPL37P18	ENST00000411602
RPS12P16	ENST00000399739
PARD3-AS1	ENST00000446211
SS18L2P1	ENST00000445923
PRDX2P2	ENST00000451920
LINC02635	ENST00000654061
CUL2	ENST00000374749
RP11-297A16.2	ENST00000450742
CREM	ENST00000374721
ATP6V1G1P4	ENST00000438388
RP11-324I22.3	ENST00000602435
LINC02634	ENST00000439198
CCNY-AS1	ENST00000605499
CCNY	ENST00000374704
RP11-235G8.1	ENST00000659071
RP11-425A6.5	ENST00000635993
GJD4	ENST00000321660
FZD8	ENST00000374694
RP11-425A6.6	ENST00000668682
RPL7P37	ENST00000425095
PCAT5	ENST00000626667
LINC02630	ENST00000442783
RP11-810B23.1	ENST00000412439
MTND5P17	ENST00000418405
MTND4P18	ENST00000447010
RP11-92J19.3	ENST00000418875
NAMPTP1	ENST00000440465
RP11-322I2.1	ENST00000457804
MKNK2P1	ENST00000437526
ARL6IP1P2	ENST00000431356
ANKRD30A	ENST00000361713
RP11-20F24.2	ENST00000436077
LINC00993	ENST00000420453
TMEM161BP1	ENST00000457388
VN1R53P	ENST00000429536
TACC1P1	ENST00000425494
MTND1P18	ENST00000448191
MTRNR2L7	ENST00000544824
RP11-258F22.1	ENST00000432530
RP11-258F22.2	ENST00000564417
ZNF33BP1	ENST00000452497
TLK2P2	ENST00000414066
ZNF248	ENST00000395867
RP11-162G10.5	ENST00000429214
ZNF37CP	ENST00000406795
ZNF33CP	ENST00000432492
ZNF25	ENST00000302609
ZNF25-DT	ENST00000412789
ZNF33A	ENST00000432900
RP11-1021O19.2	ENST00000612768
EIF3LP3	ENST00000495197
FXYD6P2	ENST00000444174
ZNF37A	ENST00000361085
PLD5P1	ENST00000640275
RP11-508N22.12	ENST00000608335
RP11-508N22.6	ENST00000430475
CCNYL4	ENST00000638066
RP11-672F9.1	ENST00000450980
RP11-508N22.11	ENST00000418733
HSD17B7P2	ENST00000471365
SEPTIN7P9	ENST00000604116
RP11-291L22.9	ENST00000634512
CICP9	ENST00000444451
RP11-291L22.4	ENST00000428915
ABCD1P2	ENST00000429313
RP11-453N3.7	ENST00000614270
PABPC1P12	ENST00000428454
SLC9B1P3	ENST00000452667
ACTR3BP5	ENST00000448440
CHEK2P5	ENST00000423877
RP11-453N3.1	ENST00000423458
RP11-96F8.1	ENST00000427864
KSR1P1	ENST00000446298
IGKV1OR10-1	ENST00000442306
AL031601.4	ENST00000605702
AL031601.5	ENST00000622650
PABPC1P8	ENST00000452851
RP11-313J2.1	ENST00000423987
CCNYL2	ENST00000472090
RP11-178A10.3	ENST00000624635
LINC00839	ENST00000659650
ZNF37BP	ENST00000452306
FXYD6P1	ENST00000604857
EIF3LP2	ENST00000457262
AL022345.10	ENST00000611406
AL022345.7	ENST00000607292
AL022345.11	ENST00000606307
ZNF33B	ENST00000359467
AL022345.12	ENST00000649715
LINC01518	ENST00000662977
VN1R54P	ENST00000435210
CUBNP1	ENST00000412710
LINC02632	ENST00000439913
RSU1P1	ENST00000453416
DUXAP3	ENST00000603616
AL022344.7	ENST00000568976
BMS1	ENST00000374518
LINC02623	ENST00000421320
LINC01264	ENST00000431395
RET	ENST00000355710
CSGALNACT2-DT	ENST00000609407
CSGALNACT2	ENST00000374466
RASGEF1A	ENST00000395810
LINC02633	ENST00000451438
RP11-168L22.3	ENST00000650340
FXYD4	ENST00000476166
HNRNPF	ENST00000682386
RP11-517P14.2	ENST00000442526
ZNF487	ENST00000652684
RP11-517P14.7	ENST00000421913
ZNF239	ENST00000374446
RP11-517P14.9	ENST00000667961
CAP1P2	ENST00000417455
ZNF485	ENST00000361807
ZNF32-AS3	ENST00000458063
RP11-402L1.4	ENST00000431956
RPL21P88	ENST00000436649
ZNF32	ENST00000374433
ZNF32-AS1	ENST00000453284
ZNF32-AS2	ENST00000418966
RP11-402L1.11	ENST00000418426
SPRING1P1	ENST00000603304
UQCRHP3	ENST00000451503
ELOCP30	ENST00000447108
LINC02658	ENST00000419406
LINC00840	ENST00000659335
HNRNPA3P1	ENST00000401429
LINC02659	ENST00000667451
LINC00841	ENST00000660538
RP11-168P8.3	ENST00000446107
RP11-20J15.2	ENST00000437014
RP11-20J15.3	ENST00000624407
LINC02881	ENST00000649743
RP11-20J15.6	ENST00000658643
CXCL12	ENST00000374426
RPL9P21	ENST00000392269
RP11-733D4.2	ENST00000605122
RP11-733D4.3	ENST00000653121
RP11-733D4.1	ENST00000456722
TMEM72-AS1	ENST00000669460
EIF2AP4	ENST00000424793
RP11-285G1.2	ENST00000436877
TMEM72	ENST00000389583
RP11-285G1.9	ENST00000425541
RP11-285G1.14	ENST00000609898
RASSF4	ENST00000340258
DEPP1	ENST00000298295
ZNF22-AS1	ENST00000625168
ZNF22	ENST00000298299
RP11-285G1.15	ENST00000599308
DUXAP4	ENST00000603046
CEP164P1	ENST00000455142
RPS19P7	ENST00000455650
RSU1P2	ENST00000437884
CUBNP3	ENST00000457461
RP11-445N18.7	ENST00000427229
ANKRD54P1	ENST00000433115
ANKRD30BP3	ENST00000444850
RP11-445N18.5	ENST00000422807
RP11-432I13.5	ENST00000618885
RP11-432I13.6	ENST00000619383
CUBNP2	ENST00000443534
OR6D1P	ENST00000436165
OR13A1	ENST00000553795
ALOX5	ENST00000374391
RP11-67C2.2	ENST00000435635
MARCHF8	ENST00000453424
ZFAND4	ENST00000344646
AGAP10P	ENST00000454844
FAM21FP	ENST00000426241
RP11-671E7.1	ENST00000424552
WASHC2C	ENST00000623400
RP11-175I17.6	ENST00000603431
FAM25E	ENST00000608562
AGAP4	ENST00000448048
RNA5SP310	ENST00000459084
PARGP1	ENST00000417555
LINC02637	ENST00000605984
RHEBP1	ENST00000448647
SHLD2P1	ENST00000497389
RP11-38L15.2	ENST00000437899
RP11-38L15.3	ENST00000659936
ABC7-42404400C24.1	ENST00000615923
SYT15	ENST00000374321
GPRIN2	ENST00000374317
NPY4R	ENST00000374312
NPY4R2	ENST00000576178
HNRNPA1P33	ENST00000421426
CH17-360D5.3	ENST00000619523
ANTXRLP1	ENST00000604933
ANTXRL	ENST00000620264
AGAP14P	ENST00000624701
FAM25BP	ENST00000623997
CH17-335B8.4	ENST00000623463
FAM245B	ENST00000655955
ANXA8	ENST00000585281
ZNF488	ENST00000585316
RBP3	ENST00000584701
GDF2	ENST00000581492
GDF10	ENST00000580279
GLUDP8	ENST00000585063
LINC02675	ENST00000670140
FAM25C	ENST00000617224
AGAP12P	ENST00000585227
RNA5SP315	ENST00000516340
BMS1P7	ENST00000602440
PTPN20CP	ENST00000614090
FRMPD2	ENST00000374201
RP11-542E6.4	ENST00000649379
RPS6P14	ENST00000425165
MAPK8	ENST00000374189
RP11-541M12.6	ENST00000624848
ARHGAP22	ENST00000249601
ARHGAP22-IT1	ENST00000505718
RP11-541M12.3	ENST00000412463
RP11-534L6.5	ENST00000514425
RP11-534L6.2	ENST00000440750
WDFY4	ENST00000325239
RPL13AP19	ENST00000434320
RP11-563N6.7	ENST00000664118
RP11-563N6.6	ENST00000423256
RP11-523O18.7	ENST00000430438
LRRC18	ENST00000374160
RP11-523O18.5	ENST00000428825
RP11-523O18.1	ENST00000422966
VSTM4	ENST00000332853
FAM170B-AS1	ENST00000442525
FAM170B	ENST00000311787
TMEM273	ENST00000374153
C10orf71-AS1	ENST00000437677
C10orf71	ENST00000374144
DRGX	ENST00000374139
RP11-123B3.2	ENST00000423283
ERCC6	ENST00000355832
HMGB1P50	ENST00000605814
SLC18A3	ENST00000374115
CHAT	ENST00000337653
C10orf53	ENST00000374111
OGDHL	ENST00000374103
MAPK6P6	ENST00000420752
RPL21P89	ENST00000444021
RPL35AP24	ENST00000413846
AGAP7P	ENST00000582299
RPL23AP61	ENST00000623642
MSMB	ENST00000582163
NCOA4	ENST00000581486
TIMM23	ENST00000580018
RPL35AP23	ENST00000584631
RNA5SP317	ENST00000410176
RP11-324H6.8	ENST00000650407
AGAP6	ENST00000374056
SLC9A3P3	ENST00000457608
FAM21EP	ENST00000417804
WASHC2A	ENST00000282633
SLC9A3P1	ENST00000426317
ASAH2	ENST00000682911
DYNC1I2P1	ENST00000435916
SGMS1	ENST00000361781
