UCSC	Symbol	Refseq	Ensembl
uc003hqo.2	HSD17B13	NM_178135	ENST00000328546
uc003hqp.2	HSD17B11	NM_016245	ENST00000358290
uc003hqq.3	NUDT9	NM_024047	ENST00000473942
uc003hqs.4	SPARCL1	NM_004684	ENST00000282470
uc003hqu.3	DSPP	NM_014208	ENST00000399271
uc003hqv.3	DMP1	NM_004407	ENST00000339673
uc003hqx.4	IBSP	NM_004967	ENST00000226284
uc003hqy.3	MEPE	NM_020203	ENST00000540395
uc003hra.3	SPP1	NM_001040058	ENST00000237623
uc003hre.3	PKD2	NM_000297	ENST00000237596
uc003hrg.3	ABCG2	NM_004827	ENST00000237612
uc003hrm.5	PPM1K	NM_152542	ENST00000608933
uc011cdi.2	HERC6	NM_017912	ENST00000380265
uc003hrt.4	HERC5	NM_016323	ENST00000264350
uc003hru.2	PYURF	NM_032906	ENST00000273968
uc021xpz.1	PIGY	NM_001042616	ENST00000527353
uc003hrw.2	HERC3	NM_014606	ENST00000402738
uc003hrx.3	NAP1L5	NM_153757	ENST00000323061
uc003hse.2	FAM13A	NM_014883	ENST00000264344
uc003hsk.3	TIGD2	NM_145715	ENST00000317005
uc003hsm.1	GPRIN3	NM_198281	ENST00000609438
uc003hsr.3	SNCA	NM_001146055	ENST00000394989
uc021xqd.1	LOC644248	NR_045481	ENST00000513653
uc003hst.3	MMRN1	NM_007351	ENST00000394980
uc003hsv.4	CCSER1	NM_001145065	ENST00000509176
uc011cdt.2	GRID2	NM_001510	ENST00000282020
uc003hta.1	ATOH1	NM_005172	ENST00000306011
uc003htb.4	SMARCAD1	NM_001128430	ENST00000359052
uc003hte.1	HPGDS	NM_014485	ENST00000295256
uc003htk.4	PDLIM5	NM_001256426	ENST00000437932
uc031sgn.1	BMPR1B	NM_001256793	ENST00000515059
uc003hto.3	UNC5C	NM_003728	ENST00000453304
uc003htr.4	PDHA2	NM_005390	ENST00000295266
uc031sgo.1	STPG2-AS1	NR_102713	ENST00000508933
uc003htt.2	STPG2	NM_174952	ENST00000295268
uc003htw.4	RAP1GDS1	NM_001100426	ENST00000408927
uc003hub.3	TSPAN5	NM_005723	ENST00000305798
uc011cea.1	EIF4E	NM_001130678	ENST00000450253
uc003huf.4	METAP1	NM_015143	ENST00000296411
uc021xqh.1	MIR3684	NR_037455	ENST00000579779
uc003hui.3	ADH5	NM_000671	ENST00000296412
uc003hum.2	LOC100507053	NR_037884	ENST00000500358
uc003hun.3	ADH4	NM_000670	ENST00000265512
uc011cee.2	PCNAP1	NR_028270	ENST00000505363
uc003huo.2	ADH6	NM_001102470	ENST00000394899
uc003hur.2	ADH1A	NM_000667	ENST00000209668
uc003hus.4	ADH1B	NM_000668	ENST00000394887
uc031sgp.1	ADH1C	NM_000669	ENST00000515683
uc021xqj.1	ADH7	NM_001166504	ENST00000209665
uc003huw.3	C4orf17	NM_032149	ENST00000326581
uc003hva.4	TRMT10A	NM_001134666	ENST00000394877
uc003hvc.4	MTTP	NM_000253	ENST00000457717
uc003hvf.4	DAPP1	NM_014395	ENST00000296414
uc003hvg.2	LAMTOR3	NM_021970	ENST00000499666
uc003hvl.4	DNAJB14	NM_001031723	ENST00000442697
uc003hvo.1	H2AFZ	NM_002106	ENST00000511348
uc003hvp.1	LOC256880	NR_002799	n/a
uc003hvq.3	DDIT4L	NM_145244	ENST00000273990
uc003hvr.3	EMCN	NM_016242	ENST00000296420
uc031sgr.1	EMCN-IT3	NR_046811	ENST00000515728
uc011cen.1	PPP3CA	NM_000944	ENST00000394854
uc003hvw.3	FLJ20021	NR_033874	ENST00000527564
uc003hvy.4	BANK1	NM_017935	ENST00000322953
uc003hwc.2	SLC39A8	NM_001135146	ENST00000356736
uc011cep.2	NFKB1	NM_003998	ENST00000226574
uc003hwg.3	MANBA	NM_005908	ENST00000514430
uc003hwl.3	UBE2D3	NM_181891	ENST00000453744
uc003hwt.4	CISD2	NM_001008388	ENST00000273986
uc003hww.3	SLC9B1	NM_139173	ENST00000296422
uc003hwy.3	SLC9B2	NM_178833	ENST00000394785
uc003hwz.3	BDH2	NM_020139	ENST00000296424
uc003hxb.1	CENPE	NM_001813	ENST00000265148
uc003hxe.1	TACR3	NM_001059	ENST00000304883
uc003hxf.2	CXXC4	NM_025212	ENST00000394767
uc003hxk.3	TET2	NM_001127208	ENST00000540549
uc003hxl.3	PPA2	NM_176869	ENST00000341695
uc003hxv.2	ARHGEF38	NM_001242729	ENST00000420470
uc031sgs.1	ARHGEF38-IT1	NR_046840	ENST00000512262
uc010ilr.3	INTS12	NM_001142471	ENST00000451321
uc003hxz.4	GSTCD	NM_001031720	ENST00000515279
uc011cfd.2	NPNT	NM_001184691	ENST00000379987
uc010ilv.2	TBCK	NM_001163435	ENST00000467183
uc011cfg.2	AIMP1	NM_001142415	ENST00000442366
uc021xqm.1	GIMD1	NM_001195138	ENST00000507153
uc003hyi.3	DKK2	NM_014421	ENST00000285311
uc003hyk.3	PAPSS1	NM_005443	ENST00000265174
uc003hyl.4	SGMS2	NM_001136258	ENST00000394684
uc003hyp.3	CYP2U1	NM_183075	ENST00000332884
uc010ilx.3	HADH	NM_001184705	ENST00000403312
uc003hyt.2	LEF1	NM_016269	ENST00000379951
uc021xqn.1	LEF1-AS1	NR_029374	ENST00000436413
uc003hyx.3	LEF1-AS1	NR_029373	ENST00000512637
uc003hyz.3	RPL34	NM_000995	ENST00000394668
uc031sgt.1	OSTC	NM_001267818	ENST00000361564
uc003hzc.3	AGXT2L1	NM_031279	ENST00000296486
uc003hze.2	COL25A1	NM_198721	ENST00000494183
uc003hzj.4	SEC24B-AS1	NR_039978	ENST00000499359
uc003hzk.3	SEC24B	NM_006323	ENST00000265175
uc011cfs.2	CCDC109B	NM_017918	ENST00000394650
uc003hzn.1	CASP6	NM_001226	ENST00000265164
uc003hzp.3	PLA2G12A	NM_030821	ENST00000243501
uc003hzr.4	CFI	NM_000204	ENST00000394634
uc003hzu.3	GAR1	NM_032993	ENST00000394631
uc003hzv.3	RRH	NM_006583	ENST00000317735
uc031sgv.1	LRIT3	NM_198506	ENST00000594814
uc003hzy.4	EGF	NM_001963	ENST00000265171
uc003hzz.3	ELOVL6	NM_001130721	ENST00000394607
uc003iab.4	ENPEP	NM_001977	ENST00000265162
uc021xqr.1	PITX2	NM_001204398	ENST00000354925
uc003iah.2	C4orf32	NM_152400	ENST00000309733
uc003iaj.4	AP1AR	NM_018569	ENST00000274000
uc003ial.3	TIFA	NM_052864	ENST00000361717
uc003ian.4	ALPK1	NM_001102406	ENST00000458497
uc003ias.3	NEUROG2	NM_024019	ENST00000313341
uc003iau.3	C4orf21	NM_018392	ENST00000505019
uc003ibb.4	LARP7	NM_015454	ENST00000324052
uc011cfz.2	MIR302B	NR_029857	ENST00000362188
uc003ibe.4	ANK2	NM_001148	ENST00000357077
uc021xqv.1	MIR1243	NR_031641	n/a
uc003ibi.3	CAMK2D	NM_001221	ENST00000394526
uc003ibq.1	ARSJ	NM_024590	ENST00000315366
uc003ibs.2	UGT8	NM_001128174	ENST00000310836
uc021xqw.1	MIR577	NR_030303	ENST00000385196
uc003ibu.3	NDST4	NM_022569	ENST00000264363
uc021xqy.1	MIR1973	NR_031737	ENST00000604093
uc003ibv.4	TRAM1L1	NM_152402	ENST00000310754
uc003ibx.3	NDST3	NM_004784	ENST00000296499
uc003iby.3	SNHG8	NR_003584	ENST00000602414
uc003ibz.1	SNORA24	NR_002963	ENST00000384096
uc003ica.2	PRSS12	NM_003619	ENST00000296498
uc003icb.3	CEP170P1	NR_003135	ENST00000412784
uc003icf.3	METTL14	NM_020961	ENST00000388822
uc003ici.4	SEC24D	NM_014822	ENST00000379735
uc010inb.3	SYNPO2	NM_133477	ENST00000307142
uc003icp.4	MYOZ2	NM_016599	ENST00000307128
uc003ics.4	USP53	NM_019050	ENST00000450251
uc021xrf.1	C4orf3	NM_001170330	ENST00000399075
uc003icw.3	FABP2	NM_000134	ENST00000274024
uc003idb.4	FLJ14186	NR_037596	n/a
uc021xrg.1	LOC645513	NR_037630	ENST00000510011
uc003idh.3	PDE5A	NM_001083	ENST00000354960
uc003idl.2	MAD2L1	NM_002358	ENST00000296509
uc003idn.3	PRDM5	NM_018699	ENST00000264808
uc003idq.1	NDNF	NM_024574	ENST00000379692
uc021xrj.1	TNIP3	NM_001244764	ENST00000454328
uc010inj.1	QRFPR	NM_198179	ENST00000394427
uc003idv.4	ANXA5	NM_001154	ENST00000296511
uc003idx.1	TMEM155	NM_152399	ENST00000337677
uc011cgk.2	PP12613	NR_024365	ENST00000424958
uc003idz.3	EXOSC9	NM_001034194	ENST00000513654
uc003iec.4	CCNA2	NM_001237	ENST00000274026
uc003ied.3	BBS7	NM_176824	ENST00000264499
uc003ieg.2	TRPC3	NM_001130698	ENST00000379645
uc003ieh.3	KIAA1109	NM_015312	ENST00000388738
uc003iep.3	ADAD1	NM_001159285	ENST00000388724
uc003ier.3	IL2	NM_000586	ENST00000226730
uc003ies.3	IL21	NM_021803	ENST00000264497
uc011cgm.1	CETN4P	NR_024041	ENST00000432407
uc003ieu.3	BBS12	NM_152618	ENST00000314218
uc003iev.1	FGF2	NM_002006	ENST00000264498
uc003iew.3	NUDT6	NM_007083	ENST00000304430
uc003iez.4	SPATA5	NM_145207	ENST00000274008
uc003ifa.4	SPRY1	NM_199327	ENST00000339241
uc010inw.3	ANKRD50	NM_020337	ENST00000504087
uc003ifj.4	FAT4	NM_024582	ENST00000394329
uc021xrq.1	MIR2054	NR_031746	n/a
uc003ifk.2	INTU	NM_015693	ENST00000335251
uc003ifl.3	SLC25A31	NM_031291	ENST00000281154
uc003ifm.3	HSPA4L	NM_014278	ENST00000296464
uc003ifo.3	PLK4	NM_014264	ENST00000270861
uc003ifp.3	MFSD8	NM_152778	ENST00000296468
uc021xrt.1	C4orf29	NM_001039717	ENST00000398965
uc003iga.3	LARP1B	NM_018078	ENST00000326639
uc003igg.3	PGRMC2	NM_006320	ENST00000520121
uc003igk.3	PHF17	NM_199320	ENST00000226319
uc003igp.2	SCLT1	NM_144643	ENST00000281142
uc010iod.3	C4orf33	NM_001099783	ENST00000425929
uc003iha.3	PCDH10	NM_032961	ENST00000264360
uc010ioe.3	PABPC4L	NM_001114734	ENST00000529122
uc003ihe.4	PCDH18	NM_019035	ENST00000344876
uc003ihh.3	LINC00616	NR_037866	ENST00000514600
uc003ihi.2	SLC7A11-AS1	NR_038380	ENST00000510767
uc021xrw.1	SLC7A11	NM_014331	ENST00000280612
uc031sha.1	LINC00499	NR_051987	ENST00000507145
uc003ihl.3	CCRN4L	NM_012118	ENST00000280614
uc003ihm.2	ELF2	NM_006874	ENST00000358635
uc003ihr.1	MGARP	NM_032623	ENST00000398955
uc021xsa.1	NDUFC1	NM_001184990	ENST00000539387
uc003ihu.1	NAA15	NM_057175	ENST00000296543
uc003ihv.3	RAB33B	NM_031296	ENST00000305626
uc003ihw.3	SETD7	NM_030648	ENST00000274031
uc003ihy.3	MGST2	NM_002413	ENST00000265498
uc021xsg.1	MAML3	NM_018717	ENST00000509479
uc011che.1	SCOC	NM_001153446	ENST00000338517
uc003iic.2	LOC100129858	NR_033939	ENST00000512692
uc003iii.3	CLGN	NM_004362	ENST00000414773
uc031shc.1	LOC152586	NM_001277353	ENST00000511113
uc003iik.3	ELMOD2	NM_153702	ENST00000323570
uc011chj.2	UCP1	NM_021833	ENST00000262999
uc010ioj.3	TBC1D9	NM_015130	ENST00000442267
uc031shd.1	TNRC18P1	NR_077215	ENST00000502875
uc003iio.1	RNF150	NM_020724	ENST00000306799
uc003iiq.4	ZNF330	NM_014487	ENST00000262990
uc003iis.3	IL15	NM_000585	ENST00000296545
uc003iiw.4	INPP4B	NM_001101669	ENST00000513000
uc003ijb.3	USP38	NM_032557	ENST00000307017
uc003ijd.3	GAB1	NM_207123	ENST00000262995
uc003ijg.3	SMARCA5	NM_003601	ENST00000283131
uc021xsj.1	FREM3	NM_001168235	ENST00000329798
uc003ijj.3	GYPE	NM_198682	ENST00000358615
uc003ijo.4	GYPA	NM_002099	ENST00000360771
uc003ijq.2	HHIP-AS1	NR_037595	ENST00000508269
uc003ijs.2	HHIP	NM_022475	ENST00000296575
uc031shk.1	ANAPC10	NM_001256709	ENST00000507656
uc003ijy.3	ABCE1	NM_002940	ENST00000296577
uc003ika.4	OTUD4	NM_001102653	ENST00000454497
uc003ikc.3	SMAD1	NM_005900	ENST00000302085
uc003ikh.4	MMAA	NM_172250	ENST00000281317
uc003ikk.3	C4orf51	NM_001080531	ENST00000438731
uc003ikm.3	ZNF827	NM_178835	ENST00000379448
uc003ikq.4	LSM6	NM_007080	ENST00000296581
uc003ikr.2	SLC10A7	NM_001029998	ENST00000432059
uc003ikv.3	POU4F2	NM_004575	ENST00000281321
uc003ikw.4	TTC29	NM_031956	ENST00000325106
uc003iky.3	EDNRA	NM_001957	ENST00000324300
uc003ila.4	TMEM184C	NM_018241	ENST00000296582
uc003ilc.3	PRMT10	NM_138364	ENST00000322396
uc003ilf.3	ARHGAP10	NM_024605	ENST00000336498
uc021xso.1	MIR4799	NR_039962	ENST00000578951
uc003ilj.4	NR3C2	NM_000901	ENST00000355292
uc003ilo.4	DCLK2	NM_001040261	ENST00000296550
uc010ipj.3	LRBA	NM_006726	ENST00000357115
uc003ilw.3	MAB21L2	NM_006439	ENST00000317605
uc003ilz.4	RPS3A	NM_001006	ENST00000274065
uc010ipl.1	SH3D19	NM_001009555	ENST00000304527
uc011cif.2	PRSS48	NM_183375	ENST00000455694
uc003imj.2	FAM160A1	NM_001109977	ENST00000435205
uc003iml.3	PET112	NM_004564	ENST00000263985
uc003ims.3	FBXW7	NM_033632	ENST00000281708
uc021xtd.1	MIR3140	NR_036092	ENST00000583685
uc003imv.3	DKFZP434I0714	NR_039658	ENST00000604157
uc003imw.2	TMEM154	NM_152680	ENST00000304385
uc003imy.3	TIGD4	NM_145720	ENST00000304337
uc003imz.3	ARFIP1	NM_001025595	ENST00000353617
uc003inf.2	FHDC1	NM_033393	ENST00000260008
uc003inh.2	TRIM2	NM_015271	ENST00000338700
uc003inj.2	ANXA2P1	NR_001562	ENST00000505539
uc003ink.2	MND1	NM_032117	ENST00000240488
uc010ipp.3	KIAA0922	NM_001131007	ENST00000409663
uc003inq.3	TLR2	NM_003264	n/a
uc003int.3	RNF175	NM_173662	ENST00000347063
uc003inv.1	SFRP2	NM_003013	ENST00000274063
uc003inw.2	DCHS2	NM_017639	ENST00000357232
uc003iny.3	PLRG1	NM_002669	ENST00000499023
uc003ioa.4	FGB	NM_005141	ENST00000302068
uc003iod.1	FGA	NM_000508	ENST00000302053
uc003ioj.3	FGG	NM_021870	ENST00000336098
uc003ion.1	LRAT	NM_004744	ENST00000336356
uc003ioo.4	RBM46	NM_144979	ENST00000281722
uc003ioq.3	NPY2R	NM_000910	ENST00000329476
uc003ios.3	MAP9	NM_001039580	ENST00000311277
uc003iow.3	GUCY1A3	NM_001130682	ENST00000296518
uc003ipc.3	GUCY1B3	NM_000857	ENST00000264424
uc003ipe.1	ASIC5	NM_017419	ENST00000537611
uc003ipf.2	TDO2	NM_005651	ENST00000536354
uc003ipg.3	CTSO	NM_001334	ENST00000433477
uc003iph.2	PDGFC	NM_016205	ENST00000502773
uc003ipj.2	GLRB	NM_000824	ENST00000264428
uc003ipl.4	GRIA2	NM_000826	ENST00000296526
uc003ipn.3	LOC340017	NR_026992	ENST00000507108
uc003ipr.4	FAM198B	NM_001128424	ENST00000585682
uc003ipx.3	TMEM144	NM_018342	ENST00000296529
uc003ipz.3	RXFP1	NM_021634	ENST00000307765
uc003iqa.3	C4orf46	NM_001008393	ENST00000379205
uc003iqb.3	ETFDH	NM_004453	ENST00000511912
uc003iqc.3	PPID	NM_005038	ENST00000307720
uc003iqe.4	FNIP2	NM_020840	ENST00000264433
uc003iqf.1	C4orf45	NM_152543	ENST00000434826
uc021xtt.1	MIR3688-1	NR_037459	ENST00000583455
uc021xtu.1	MIR3688-2	NR_039963	n/a
uc003iqg.4	RAPGEF2	NM_014247	ENST00000264431
uc003iqh.4	FSTL5	NM_020116	ENST00000306100
uc003iqj.3	NAF1	NM_138386	ENST00000274054
uc003iqm.2	NPY1R	NM_000909	ENST00000296533
uc003iqn.3	NPY5R	NM_006174	ENST00000338566
uc003iqp.4	TKTL2	NM_032136	ENST00000280605
uc003iqq.4	TMA16	NM_018352	ENST00000358572
uc003iqs.2	MARCH1	NM_001166373	ENST00000274056
uc011cjk.2	ANP32C	NM_012403	ENST00000512835
uc031shs.1	MIR5684	NR_049864	n/a
uc003iqu.1	LOC100505989	NR_038834	ENST00000507311
uc003iqv.2	LOC100506013	NR_038825	ENST00000507152
uc003iqw.3	TRIM61	NM_001012414	ENST00000329314
uc003iqx.1	FAM218A	NM_153027	ENST00000513876
uc003iqy.1	TRIM60	NM_152620	ENST00000512596
uc003iqz.4	TMEM192	NM_001100389	ENST00000306480
uc011cjm.2	KLHL2	NM_001161521	ENST00000538127
uc003ird.3	GK3P	NM_000167	ENST00000413616
uc003ire.3	MSMO1	NM_006745	ENST00000261507
uc003irg.4	CPE	NM_001873	ENST00000402744
uc021xua.1	MIR578	NR_030304	ENST00000384828
uc003irh.2	TLL1	NM_012464	ENST00000061240
uc003iri.1	SPOCK3	NM_016950	ENST00000357154
uc003irm.3	ANXA10	NM_007193	ENST00000359299
uc003irp.3	DDX60	NM_017631	ENST00000393743
uc003irq.4	DDX60L	NM_001012967	ENST00000511577
uc011cjx.2	PALLD	NM_001166108	ENST00000261509
uc003iry.3	CBR4	NM_032783	ENST00000306193
uc003isa.1	SH3RF1	NM_020870	ENST00000284637
uc003isd.2	NEK1	NM_001199397	ENST00000439128
uc003ish.3	CLCN3	NM_173872	ENST00000513761
uc003isl.4	C4orf27	NM_017867	ENST00000393381
uc003ism.1	LOC100506085	NR_037878	ENST00000508313
uc003isp.4	MFAP3L	NM_021647	ENST00000361618
uc003isr.3	AADAT	NM_016228	ENST00000337664
uc003isu.2	LOC100506122	NR_038838	ENST00000505329
uc003isv.3	GALNTL6	NM_001034845	ENST00000506823
uc003isz.4	GALNT7	NM_017423	ENST00000265000
uc011ckc.1	HMGB2	NM_001130689	ENST00000296503
uc003itd.3	SAP30	NM_003864	ENST00000296504
uc003ite.3	SCRG1	NM_007281	ENST00000296506
uc003ith.1	HAND2	NM_021973	ENST00000359562
uc003itp.3	FBXO8	NM_012180	ENST00000393674
uc010iro.2	CEP44	NM_001145314	ENST00000457424
uc021xul.1	MIR4276	NR_036236	ENST00000584832
uc003itu.3	HPGD	NM_000860	ENST00000296522
uc003ity.1	GLRA3	NM_006529	ENST00000274093
uc031shw.1	ADAM29	NM_001278127	ENST00000445694
uc003iug.4	GPM6A	NM_005277	ENST00000280187
uc003iuj.3	WDR17	NM_170710	ENST00000393643
uc003iuo.1	SPATA4	NM_144644	ENST00000280191
uc003iuq.2	ASB5	NM_080874	ENST00000296525
uc003iur.4	SPCS3	NM_021928	ENST00000503362
uc003ius.1	VEGFC	NM_005429	ENST00000280193
uc003iut.2	NEIL3	NM_018248	ENST00000264596
uc003iuu.2	AGA	NM_000027	ENST00000264595
uc010iru.3	LOC285501	NR_028342	ENST00000507870
uc003iuz.3	LINC00290	NR_033918	ENST00000512487
uc003ivc.2	MGC45800	NR_027107	ENST00000315302
uc003ivd.1	TENM3	NM_001080477	ENST00000511685
uc021xuw.1	MIR1305	NR_031640	ENST00000408300
uc003ivg.3	DCTD	NM_001012732	ENST00000357067
uc003ivi.4	FAM92A1P2	NR_003612	ENST00000502308
uc003ivj.1	WWC2-AS2	NR_024008	ENST00000578387
uc010irx.3	WWC2	NM_024949	ENST00000403733
uc010isa.1	CLDN22	NM_001111319	ENST00000323319
uc021xva.1	CLDN24	NM_001185149	ENST00000541814
uc003ivp.1	CDKN2AIP	NM_017632	ENST00000504169
uc003ivr.3	LOC389247	NR_033995	ENST00000457303
uc003ivs.1	ING2	NM_001564	ENST00000302327
uc003ivt.1	RWDD4	NM_152682	ENST00000327570
uc003ivx.3	TRAPPC11	NM_021942	ENST00000334690
uc003ivz.1	STOX2	NM_020225	ENST00000308497
uc003iwc.3	ENPP6	NM_153343	ENST00000296741
uc003iwd.2	LOC728175	NR_040108	ENST00000317596
uc003iwf.4	IRF2	NM_002199	ENST00000393593
uc003iwi.3	CASP3	NM_032991	ENST00000523916
uc003iwk.2	CCDC111	NM_152683	ENST00000314970
uc003iwq.3	MLF1IP	NM_024629	ENST00000281453
uc003iwu.1	ACSL1	NM_001995	ENST00000281455
uc003iwx.2	SLED1	NR_003542	ENST00000506741
uc021xvf.1	LOC731424	NR_037867	ENST00000510284
uc021xvg.1	MIR3945	NR_037510	ENST00000581853
uc011ckq.2	HELT	NM_001029887	ENST00000338875
uc003ixd.3	SLC25A4	NM_001151	ENST00000281456
uc003ixf.4	KIAA1430	NM_020827	ENST00000458385
uc003ixh.3	SNX25	NM_031953	ENST00000264694
uc003ixj.2	LRP2BP	NM_018409	ENST00000362004
uc003ixm.3	ANKRD37	NM_181726	ENST00000335174
uc003ixo.2	UFSP2	NM_018359	ENST00000514247
uc003ixt.2	C4orf47	NM_001114357	ENST00000378850
uc003ixu.4	CCDC110	NM_152775	ENST00000307588
uc003ixw.4	PDLIM3	NM_014476	ENST00000284770
uc003iym.3	SORBS2	NM_001270771	ENST00000284776
uc003iyq.3	TLR3	NM_003265	ENST00000296795
uc010isl.3	FAM149A	NM_001006655	ENST00000227065
uc031sic.1	FLJ38576	NR_046264	ENST00000596414
uc003iyw.4	CYP4V2	NM_207352	ENST00000507209
uc003iyy.3	KLKB1	NM_000892	ENST00000264690
uc003iza.1	F11	NM_000128	ENST00000264692
uc003izb.2	LOC285441	NR_033900	ENST00000505103
uc003izc.3	LOC285441	NR_033901	ENST00000508110
uc003izd.1	MTNR1A	NM_005958	ENST00000307161
uc003izf.3	FAT1	NM_005245	ENST00000441802
uc021xvl.1	LOC339975	NR_038931	ENST00000511385
uc003izh.1	ZFP42	NM_174900	ENST00000326866
uc003izl.2	TRIML2	NM_173553	ENST00000512729
uc003izm.1	TRIML1	NM_178556	ENST00000332517
uc003izs.3	FRG1	NM_004477	ENST00000226798
uc003izv.3	LOC100288255	NM_001199232	ENST00000378763
uc031sid.1	DUX2	NM_012147	ENST00000536428
uc031sie.1	DUX4L6	NM_001177376	ENST00000553598
uc031sif.1	DUX2	NM_033178	ENST00000555191
uc031sig.1	DUX4	NM_033178	ENST00000554668
uc021xvr.2	DUX4L4	NM_001177376	ENST00000538692
uc011clk.2	DUX4L5	NM_033178	ENST00000554690
uc031sih.1	DUX2	NM_033178	ENST00000440426
uc003jak.2	PLEKHG4B	NM_052909	ENST00000283426
uc003jal.1	LRRC14B	NM_001080478	ENST00000328278
uc003jam.1	CCDC127	NM_145265	ENST00000296824
uc003jao.4	SDHA	NM_004168	ENST00000264932
uc003jat.1	PDCD6	NM_013232	ENST00000264933
uc003jaw.3	AHRR	NM_001242412	ENST00000316418
uc010ita.3	C5orf55	NM_138464	ENST00000408966
uc003jba.3	EXOC3	NM_007277	ENST00000512944
uc003jbe.2	SLC9A3	NM_004174	ENST00000264938
uc021xvw.1	MIR4456	NR_039661	ENST00000582112
uc031sin.1	LOC100996325	NR_103444	ENST00000506629
uc003jbf.3	CEP72	NM_018140	ENST00000264935
uc003jbh.4	TPPP	NM_007030	ENST00000360578
uc011cma.1	ZDHHC11	NM_024786	ENST00000283441
uc003jbq.3	BRD9	NM_023924	ENST00000495265
uc003jbr.3	TRIP13	NM_004237	ENST00000166345
uc021xvx.1	LOC100506688	NM_001242737	ENST00000399869
uc003jbt.2	NKD2	NM_033120	ENST00000296849
uc003jbu.3	SLC12A7	NM_006598	ENST00000264930
uc021xvy.1	MIR4635	NR_039778	ENST00000583759
uc003jbw.4	SLC6A19	NM_001003841	ENST00000304460
uc003jby.2	SLC6A18	NM_182632	ENST00000324642
uc003jcb.1	TERT	NM_198253	ENST00000310581
uc021xwd.1	MIR4457	NR_039662	ENST00000580663
uc003jch.3	CLPTM1L	NM_030782	ENST00000320895
uc003jck.3	SLC6A3	NM_001044	ENST00000270349
uc003jcm.3	LPCAT1	NM_024830	ENST00000283415
uc021xwg.1	MIR4277	NR_036240	ENST00000578298
uc003jcx.4	MRPL36	NM_032479	ENST00000508987
uc003jcy.3	NDUFS6	NM_004553	ENST00000274137
uc003jcz.2	IRX4	NM_016358	ENST00000231357
uc003jdb.3	IRX2	NM_033267	ENST00000302057
uc003jdc.3	C5orf38	NM_178569	ENST00000334000
uc003jdd.3	LOC285577	NR_033898	ENST00000505443
uc003jde.3	IRX1	NM_024337	ENST00000302006
uc003jdl.3	ADAMTS16	NM_139056	ENST00000274181
uc003jdm.5	KIAA0947	NM_015325	ENST00000296564
uc003jdn.1	FLJ33360	NR_028351	ENST00000507444
uc003jdo.3	MED10	NM_032286	ENST00000255764
uc003jdp.4	UBE2QL1	NM_001145161	ENST00000399816
uc003jdq.3	LOC255167	NR_024423	ENST00000505626
uc003jdu.3	NSUN2	NM_017755	ENST00000264670
uc003jdw.3	SRD5A1	NM_001047	ENST00000274192
uc003jdx.1	PAPD7	NM_006999	ENST00000230859
uc021xwi.1	MIR4278	NR_036242	n/a
uc021xwj.1	MIR4454	NR_039659	n/a
uc003jdy.2	LOC442132	NR_033906	ENST00000512854
uc003jdz.1	ADCY2	NM_020546	ENST00000338316
uc003jea.5	C5orf49	NM_001089584	ENST00000399810
uc003jeb.3	FASTKD3	NM_024091	ENST00000264669
uc003jed.3	MTRR	NM_024010	ENST00000264668
uc003jeh.2	LOC729506	NR_039984	ENST00000501071
uc003jei.3	LOC100505738	NR_039989	ENST00000606459
uc003jek.2	SEMA5A	NM_003966	ENST00000382496
uc021xwl.1	MIR4636	NR_039779	ENST00000582271
uc021xwm.1	LOC100505806	NR_045196	ENST00000508179
uc010itp.1	SNORD123	NR_003689	ENST00000459473
uc003jem.1	TAS2R1	NM_019599	ENST00000382492
uc003jen.3	LOC285692	NR_027112	ENST00000511616
uc003jeo.3	FAM173B	NM_199133	ENST00000280330
uc003jeq.3	CCT5	NM_012073	ENST00000280326
uc003jes.3	CMBL	NM_138809	ENST00000296658
uc003jet.2	MARCH6	NM_005885	ENST00000274140
uc031siw.1	ROPN1L-AS1	NR_102746	ENST00000513037
uc021xwo.1	ROPN1L	NM_001201466	ENST00000503804
uc021xwp.1	ANKRD33B	NM_001164440	ENST00000296657
uc003jez.4	DAP	NM_004394	ENST00000230895
uc003jfa.1	CTNND2	NM_001332	ENST00000304623
uc003jfb.1	CT49	NR_033383	ENST00000505196
uc003jfd.2	DNAH5	NM_001369	ENST00000265104
uc003jff.3	TRIO	NM_007118	ENST00000344204
uc003jfj.3	FAM105A	NM_019018	ENST00000274217
uc003jfk.3	FAM105B	NM_138348	ENST00000284274
uc003jfm.4	ANKH	NM_054027	ENST00000284268
uc031six.1	LOC100130744	NR_046285	n/a
uc021xwq.1	MIR4637	NR_039780	ENST00000582405
uc003jfn.1	FBXL7	NM_012304	ENST00000504595
uc003jfo.2	MARCH11	NM_001102562	ENST00000332432
uc003jfq.3	ZNF622	NM_033414	ENST00000308683
uc003jfs.3	FAM134B	NM_001034850	ENST00000306320
uc003jft.4	MYO10	NM_012334	ENST00000513610
uc003jfw.2	LOC285696	NR_027253	ENST00000399760
uc031siz.1	BASP1	NM_001271606	ENST00000322611
uc003jga.3	LOC401177	NR_033975	ENST00000505158
uc003jgd.3	CDH18	NM_004934	ENST00000382275
uc010iub.3	GUSBP1	NR_027028	ENST00000328346
uc003jgk.2	CDH12	NM_004061	ENST00000382254
uc003jgo.3	PRDM9	NM_020227	ENST00000296682
uc003jgr.2	CDH10	NM_006727	ENST00000264463
