Gene Symbol	Transcript	Source	Matches Old Trx 
HES3	NM_001024598	MANE	Y
HES4	NM_021170	MANE	Y
HES5	NM_001010926	MANE	Y
HES6	NM_018645	MANE	Y
HES7	NM_001165967	MANE	Y
HESX1	NM_003865	MANE	Y
HEXA	NM_000520	MANE	Y
HEXA-AS1	NR_027262	LongestTrx	Y
HEXB	NM_000521	MANE	Y
HEXD	NM_001330542	MANE	N
HEXIM1	NM_006460	MANE	Y
HEXIM2	NM_001303441	MANE	N
HEY1	NM_012258	MANE	N
HEY2	NM_012259	MANE	Y
HEYL	NM_014571	MANE	Y
HFE	NM_000410	MANE	Y
HFE-AS1	NR_144383	LongestTrx	N
HFM1	NM_001017975	MANE	Y
HGC6.3	NM_001129895	UniProt	Y
HGD	NM_000187	MANE	Y
HGF	NM_000601	MANE	Y
HGFAC	NM_001528	MANE	Y
HGH1	NM_016458	MANE	Y
HGS	NM_004712	MANE	Y
HGSNAT	NM_152419	MANE	Y
HHAT	NM_018194	MANE	N
HHATL	NM_020707	MANE	Y
HHATL-AS1	NR_146957	LongestTrx	N
HHEX	NM_002729	MANE	Y
HHIP	NM_022475	MANE	Y
HHIP-AS1	NR_037595	LongestTrx	Y
HHIPL1	NM_001127258	MANE	Y
HHIPL2	NM_024746	MANE	Y
HHLA1	NM_001145095	UniProt	Y
HHLA2	NM_007072	UniProt	Y
HHLA3	NM_001031693	UniProt	N
HIBADH	NM_152740	MANE	Y
HIBCH	NM_014362	MANE	Y
HIC1	NM_006497	MANE	N
HIC2	NM_015094	MANE	Y
HID1	NM_030630	MANE	Y
HID1-AS1	NR_110878	LongestTrx	N
HIF1A	NM_001530	MANE	Y
HIF1A-AS1	NR_047116	LongestTrx	N
HIF1A-AS2	NR_045406	LongestTrx	Y
HIF1A-AS3	NR_144368	LongestTrx	N
HIF1AN	NM_017902	MANE	Y
HIF3A	NM_152795	MANE	Y
HIGD1A	NM_014056	MANE	N
HIGD1B	NM_016438	MANE	N
HIGD1C	NM_001109619	UniProt	Y
HIGD2A	NM_138820	MANE	Y
HIGD2B	NM_001350932	MANE	N
HIKESHI	NM_016401	MANE	Y
HILPDA	NM_013332	MANE	N
HINFP	NM_198971	MANE	Y
HINT1	NM_005340	MANE	Y
HINT2	NM_032593	MANE	Y
HINT3	NM_138571	MANE	Y
HIP1	NM_005338	MANE	Y
HIP1R	NM_003959	MANE	Y
HIPK1	NM_198268	MANE	Y
HIPK1-AS1	NR_110725	LongestTrx	N
HIPK2	NM_022740	MANE	Y
HIPK3	NM_005734	MANE	N
HIPK4	NM_144685	MANE	Y
HIRA	NM_003325	MANE	Y
HIRIP3	NM_003609	MANE	Y
HIVEP1	NM_002114	MANE	Y
HIVEP2	NM_006734	MANE	Y
HIVEP3	NM_024503	MANE	N
HJURP	NM_018410	MANE	Y
HJV	NM_213653	MANE	Y
HK1	NM_000188	MANE	N
HK2	NM_000189	MANE	Y
HK3	NM_002115	MANE	Y
HKDC1	NM_025130	MANE	Y
HLA-A	NM_002116	MANE	Y
HLA-B	NM_005514	MANE	Y
HLA-C	NM_002117	UniProt	Y
HLA-DMA	NM_006120	MANE	Y
HLA-DMB	NM_002118	MANE	Y
HLA-DOA	NM_002119	MANE	Y
HLA-DOB	NM_002120	MANE	N
HLA-DPA1	NM_033554	UniProt	Y
HLA-DPB1	NM_002121	MANE	Y
HLA-DPB2	NR_001435	LongestTrx	Y
HLA-DQA1	NM_002122	MANE	Y
HLA-DQA2	NM_020056	MANE	Y
HLA-DQB1	NM_002123	UniProt	Y
HLA-DQB1-AS1	NR_133907	LongestTrx	Y
HLA-DQB2	NM_001300790	MANE	N
HLA-DRA	NM_019111	MANE	Y
HLA-DRB1	NM_002124	UniProt	N
HLA-DRB3	NM_022555	UniProt	Y
HLA-DRB4	NM_021983	UniProt	Y
HLA-DRB5	NM_002125	MANE	Y
HLA-DRB6	NR_001298	LongestTrx	Y
HLA-E	NM_005516	MANE	Y
HLA-F	NM_001098479	MANE	Y
HLA-F-AS1	NR_026972	LongestTrx	Y
HLA-G	NM_001384290	MANE	N
HLA-H	NR_001434	LongestTrx	Y
HLA-J	NR_024240	LongestTrx	Y
HLA-L	NR_027822	LongestTrx	Y
HLA-V	NR_132323	LongestTrx	Y
HLCS	NM_001352514	MANE	N
HLF	NM_002126	MANE	Y
HLTF	NM_003071	MANE	Y
HLTF-AS1	NR_046648	LongestTrx	Y
HLX	NM_021958	MANE	Y
HLX-AS1	NR_046901	LongestTrx	N
HM13	NM_178581	MANE	Y
HM13-AS1	NR_046853	LongestTrx	Y
HMBOX1	NM_001135726	MANE	Y
HMBS	NM_000190	MANE	Y
HMCES	NM_020187	MANE	Y
HMCN1	NM_031935	MANE	Y
HMCN2	NM_001291815	LongestTrx	N
HMG20A	NM_001304504	MANE	N
HMG20B	NM_006339	MANE	Y
HMGA1	NM_145899	MANE	Y
HMGA1P7	NR_037938	LongestTrx	Y
HMGA2	NM_003483	MANE	Y
HMGA2-AS1	NR_158984	LongestTrx	N
HMGB1	NM_002128	MANE	Y
HMGB2	NM_002129	MANE	N
HMGB3	NM_005342	MANE	Y
HMGB3P1	NR_002165	LongestTrx	Y
HMGB4	NM_001379301	MANE	N
HMGCL	NM_000191	MANE	Y
HMGCLL1	NM_001042406	MANE	N
HMGCR	NM_000859	MANE	Y
HMGCS1	NM_001098272	MANE	N
HMGCS2	NM_005518	MANE	Y
HMGN1	NM_004965	MANE	Y
HMGN2	NM_005517	MANE	Y
HMGN2P46	NR_022014	LongestTrx	Y
HMGN3	NM_004242	UniProt	N
HMGN3-AS1	NR_040671	LongestTrx	Y
HMGN4	NM_006353	MANE	Y
HMGN5	NM_030763	MANE	Y
HMGXB3	NM_014983	MANE	Y
HMGXB4	NM_001003681	MANE	Y
HMHB1	NM_021182	MANE	Y
HMMR	NM_001142556	MANE	Y
HMMR-AS1	NR_109892	LongestTrx	N
HMOX1	NM_002133	MANE	Y
HMOX2	NM_002134	MANE	Y
HMSD	NM_001123366	MANE	Y
HMX1	NM_018942	MANE	Y
HMX2	NM_005519	MANE	Y
HMX3	NM_001105574	MANE	Y
HNF1A	NM_000545	MANE	Y
HNF1A-AS1	NR_024345	LongestTrx	Y
HNF1B	NM_000458	MANE	Y
HNF4A	NM_000457	MANE	Y
HNF4A-AS1	NR_109949	LongestTrx	N
HNF4G	NM_004133	MANE	Y
HNMT	NM_006895	MANE	Y
HNRNPA0	NM_006805	MANE	Y
HNRNPA1	NM_031157	MANE	Y
HNRNPA1L2	NM_001011724	UniProt	N
HNRNPA1P10	NR_002944	LongestTrx	N
HNRNPA1P33	NR_003277	LongestTrx	Y
HNRNPA2B1	NM_002137	MANE	N
HNRNPA3	NM_194247	UniProt	Y
HNRNPA3P1	NR_002726	LongestTrx	Y
HNRNPAB	NM_031266	MANE	Y
HNRNPC	NM_004500	MANE	N
HNRNPCL1	NM_001013631	MANE	N
HNRNPCL2	NM_001136561	MANE	Y
HNRNPCL3	NM_001382358	MANE	N
HNRNPCL4	NM_001302551	MANE	N
HNRNPD	NM_031370	MANE	Y
HNRNPDL	NM_031372	MANE	Y
HNRNPF	NM_001098204	MANE	N
HNRNPH1	NM_005520	UniProt	N
HNRNPH2	NM_019597	MANE	N
HNRNPH3	NM_012207	MANE	Y
HNRNPK	NM_031263	MANE	Y
HNRNPKP3	NR_033868	LongestTrx	Y
HNRNPL	NM_001533	MANE	Y
HNRNPLL	NM_138394	MANE	Y
HNRNPM	NM_005968	MANE	Y
HNRNPR	NM_005826	MANE	N
HNRNPU	NM_031844	MANE	Y
HNRNPUL1	NM_007040	MANE	Y
HNRNPUL2	NM_001079559	MANE	Y
HNRNPUL2-BSCL2	NR_037946	LongestTrx	N
HOATZ	NM_001100388	MANE	N
HOGA1	NM_138413	MANE	N
HOMER1	NM_004272	MANE	Y
HOMER2	NM_004839	MANE	N
HOMER3	NM_004838	MANE	Y
HOMER3-AS1	NR_134912	LongestTrx	N
HOMEZ	NM_020834	MANE	Y
HOOK1	NM_015888	MANE	Y
HOOK2	NM_013312	MANE	Y
HOOK3	NM_032410	MANE	Y
HOPX	NM_032495	MANE	N
HORMAD1	NM_032132	MANE	Y
HORMAD2	NM_152510	MANE	Y
HORMAD2-AS1	NR_110541	LongestTrx	N
HOTAIR	NR_047518	LongestTrx	N
HOTAIRM1	NR_038367	LongestTrx	N
HOTTIP	NR_037843	LongestTrx	Y
HOXA1	NM_005522	MANE	Y
HOXA10	NM_018951	MANE	Y
HOXA10-AS	NR_046609	LongestTrx	Y
HOXA10-HOXA9	NR_037940	LongestTrx	N
HOXA11	NM_005523	MANE	Y
HOXA11-AS	NR_002795	LongestTrx	N
HOXA13	NM_000522	MANE	Y
HOXA2	NM_006735	MANE	Y
HOXA3	NM_153631	MANE	N
HOXA4	NM_002141	MANE	Y
HOXA5	NM_019102	MANE	Y
HOXA6	NM_024014	MANE	Y
HOXA7	NM_006896	MANE	Y
HOXA9	NM_152739	MANE	Y
HOXA-AS2	NR_122069	LongestTrx	N
HOXA-AS3	NR_038832	LongestTrx	Y
HOXB1	NM_002144	MANE	Y
HOXB13	NM_006361	MANE	Y
HOXB2	NM_002145	MANE	Y
HOXB3	NM_001384749	MANE	N
HOXB4	NM_024015	MANE	Y
HOXB5	NM_002147	MANE	Y
HOXB6	NM_018952	MANE	Y
HOXB7	NM_004502	MANE	Y
HOXB8	NM_024016	MANE	Y
HOXB9	NM_024017	MANE	Y
HOXB-AS1	NR_102279	LongestTrx	Y
HOXB-AS3	NR_033201	LongestTrx	N
HOXC10	NM_017409	MANE	Y
HOXC11	NM_014212	MANE	Y
HOXC12	NM_173860	MANE	Y
HOXC13	NM_017410	MANE	Y
HOXC13-AS	NR_047507	LongestTrx	Y
HOXC4	NM_153633	MANE	Y
HOXC5	NM_018953	MANE	Y
HOXC6	NM_004503	MANE	Y
HOXC8	NM_022658	MANE	Y
HOXC9	NM_006897	MANE	Y
HOXC-AS1	NR_047504	LongestTrx	N
HOXC-AS2	NR_047505	LongestTrx	N
HOXC-AS3	NR_047506	LongestTrx	N
HOXD1	NM_024501	MANE	Y
HOXD10	NM_002148	MANE	Y
HOXD11	NM_021192	MANE	Y
HOXD12	NM_021193	MANE	Y
HOXD13	NM_000523	MANE	Y
HOXD3	NM_006898	MANE	Y
HOXD4	NM_014621	MANE	Y
HOXD8	NM_019558	MANE	Y
HOXD9	NM_014213	MANE	Y
HOXD-AS2	NR_038435	LongestTrx	Y
HP	NM_005143	MANE	Y
HP09053	NR_110821	LongestTrx	N
HP1BP3	NM_001372052	MANE	N
HPAT5	NR_157263	LongestTrx	N
HPCA	NM_002143	MANE	Y
HPCAL1	NM_002149	MANE	N
HPCAL4	NM_016257	MANE	Y
HPD	NM_002150	MANE	Y
HPDL	NM_032756	MANE	Y
HPF1	NM_017867	MANE	Y
HPGD	NM_000860	MANE	Y
HPGDS	NM_014485	MANE	Y
HPN	NM_001384133	MANE	N
HPN-AS1	NR_024562	LongestTrx	Y
HPR	NM_020995	MANE	Y
HPRT1	NM_000194	MANE	Y
HPS1	NM_000195	MANE	Y
HPS3	NM_032383	MANE	Y
HPS4	NM_022081	MANE	N
HPS5	NM_181507	MANE	Y
HPS6	NM_024747	MANE	Y
HPSE	NM_001098540	MANE	Y
HPSE2	NM_021828	MANE	Y
HPX	NM_000613	MANE	Y
HPYR1	NR_026684	LongestTrx	Y
HR	NM_005144	MANE	Y
HRAS	NM_005343	MANE	N
HRAT17	NR_110162	LongestTrx	N
HRAT5	NR_104613	LongestTrx	N
HRAT92	NR_033963	LongestTrx	Y
HRC	NM_002152	MANE	Y
HRCT1	NM_001039792	MANE	Y
HRG	NM_000412	MANE	Y
HRH1	NM_001098212	MANE	Y
HRH2	NM_022304	UniProt	N
HRH3	NM_007232	MANE	Y
HRH4	NM_021624	MANE	Y
HRK	NM_003806	MANE	Y
HRNR	NM_001009931	MANE	Y
HROB	NM_001171251	MANE	N
HS1BP3	NM_022460	MANE	Y
HS1BP3-IT1	NR_046836	LongestTrx	N
HS2ST1	NM_012262	MANE	Y
HS3ST1	NM_005114	MANE	Y
HS3ST2	NM_006043	MANE	Y
HS3ST3A1	NM_006042	MANE	Y
HS3ST3B1	NM_006041	MANE	Y
HS3ST4	NM_006040	MANE	Y
HS3ST5	NM_153612	MANE	Y
HS3ST6	NM_001009606	MANE	Y
HS6ST1	NM_004807	MANE	Y
HS6ST2	NM_147175	UniProt	N
HS6ST2-AS1	NR_046691	LongestTrx	Y
HS6ST3	NM_153456	MANE	Y
HSBP1	NM_001537	MANE	Y
HSBP1L1	NM_001136180	MANE	Y
HSCB	NM_172002	MANE	Y
HSD11B1	NM_005525	MANE	Y
HSD11B1-AS1	NR_134509	LongestTrx	N
HSD11B1L	NM_198706	MANE	N
HSD11B2	NM_000196	MANE	Y
HSD17B1	NM_000413	MANE	Y
HSD17B10	NM_004493	MANE	Y
HSD17B11	NM_016245	MANE	Y
HSD17B12	NM_016142	MANE	Y
HSD17B13	NM_178135	MANE	Y
HSD17B14	NM_016246	MANE	Y
HSD17B1-AS1	NR_144402	LongestTrx	N
HSD17B2	NM_002153	MANE	Y
HSD17B3	NM_000197	MANE	Y
HSD17B3-AS1	NR_146524	LongestTrx	N
HSD17B4	NM_000414	MANE	Y
HSD17B6	NM_003725	MANE	Y
HSD17B7	NM_016371	MANE	Y
HSD17B7P2	NR_003086	LongestTrx	Y
HSD17B8	NM_014234	MANE	Y
HSD3B1	NM_000862	MANE	Y
HSD3B2	NM_000198	MANE	Y
HSD3B7	NM_025193	MANE	Y
HSD3BP4	NR_033781	LongestTrx	Y
HSD52	NR_027120	LongestTrx	Y
HSDL1	NM_031463	MANE	Y
HSDL2	NM_032303	MANE	Y
HSF1	NM_005526	MANE	Y
HSF2	NM_004506	MANE	Y
HSF2BP	NM_007031	MANE	Y
HSF4	NM_001374675	MANE	N
HSF5	NM_001080439	MANE	Y
HSFX1	NM_016153	MANE	Y
HSFX2	NM_001164415	MANE	Y
HSFX3	NM_001323079	MANE	N
HSFX4	NM_001351114	MANE	N
HSFY1	NM_033108	MANE	Y
HSFY1P1	NR_003607	LongestTrx	Y
HSFY2	NM_153716	MANE	Y
HSH2D	NM_001382417	MANE	N
HSP90AA1	NM_005348	MANE	N
HSP90AB1	NM_007355	MANE	N
HSP90AB4P	NR_073415	LongestTrx	Y
HSP90B1	NM_003299	MANE	Y
HSP90B2P	NR_073383	LongestTrx	Y
HSPA12A	NM_025015	MANE	Y
HSPA12B	NM_052970	MANE	Y
HSPA13	NM_006948	MANE	Y
HSPA14	NM_016299	MANE	Y
HSPA1A	NM_005345	MANE	Y
HSPA1B	NM_005346	MANE	Y
HSPA1L	NM_005527	MANE	Y
HSPA2	NM_021979	MANE	Y
HSPA2-AS1	NR_110550	LongestTrx	N
HSPA4	NM_002154	MANE	Y
HSPA4L	NM_014278	MANE	Y
HSPA5	NM_005347	MANE	Y
HSPA6	NM_002155	MANE	Y
HSPA7	NR_024151	LongestTrx	Y
HSPA8	NM_006597	MANE	Y
HSPA9	NM_004134	MANE	Y
HSPB1	NM_001540	MANE	Y
HSPB11	NM_016126	MANE	Y
HSPB2	NM_001541	MANE	Y
HSPB2-C11orf52	NR_037651	LongestTrx	N
HSPB3	NM_006308	MANE	Y
HSPB6	NM_144617	MANE	Y
HSPB7	NM_014424	MANE	Y
HSPB8	NM_014365	MANE	Y
HSPB9	NM_033194	MANE	Y
HSPBAP1	NM_024610	MANE	Y
HSPBP1	NM_012267	MANE	N
HSPC324	NR_135132	LongestTrx	N
HSPD1	NM_002156	MANE	Y
HSPE1	NM_002157	MANE	N
HSPE1-MOB4	NM_001202485	UniProt	Y
HSPG2	NM_005529	MANE	Y
HSPH1	NM_006644	MANE	Y
HTATIP2	NM_001098522	MANE	N
HTATSF1	NM_014500	MANE	Y
HTATSF1P2	NR_033884	LongestTrx	Y
HTD2	NM_001348712	MANE	N
HTN1	NM_002159	MANE	Y
HTN3	NM_000200	MANE	Y
HTR1A	NM_000524	MANE	Y
HTR1B	NM_000863	MANE	Y
HTR1D	NM_000864	MANE	Y
HTR1E	NM_000865	MANE	Y
HTR1F	NM_001322209	MANE	N
HTR2A	NM_000621	MANE	Y
HTR2A-AS1	NR_046612	LongestTrx	N
HTR2B	NM_000867	MANE	Y
HTR2C	NM_000868	MANE	Y
HTR3A	NM_000869	MANE	N
HTR3B	NM_006028	UniProt	Y
HTR3C	NM_130770	MANE	Y
HTR3D	NM_001145143	MANE	N
HTR3E	NM_001256613	MANE	N
HTR3E-AS1	NR_133658	LongestTrx	N
HTR4	NM_000870	MANE	N
HTR5A	NM_024012	MANE	Y
HTR5A-AS1	NR_038945	LongestTrx	Y
HTR6	NM_000871	MANE	Y
HTR7	NM_019859	MANE	Y
HTR7P1	NR_002774	LongestTrx	Y
HTRA1	NM_002775	MANE	Y
HTRA2	NM_013247	MANE	Y
HTRA3	NM_053044	MANE	Y
HTRA4	NM_153692	MANE	Y
HTT	NM_001388492	MANE	N
HTT-AS	NR_045414	LongestTrx	Y
HULC	NR_004855	LongestTrx	Y
HUNK	NM_014586	MANE	Y
HUS1	NM_004507	MANE	Y
HUS1B	NM_148959	UniProt	Y
HUWE1	NM_031407	MANE	Y
HVCN1	NM_032369	MANE	Y
HYAL1	NM_033159	MANE	Y
HYAL2	NM_003773	MANE	Y
HYAL3	NM_003549	MANE	N
HYAL4	NM_012269	MANE	Y
HYAL6P	NR_002731	LongestTrx	Y
HYDIN	NM_001270974	MANE	Y
HYDIN2	NR_103556	LongestTrx	N
HYI	NM_001190880	MANE	Y
HYKK	NM_001013619	MANE	Y
HYLS1	NM_001134793	MANE	N
HYMAI	NR_002768	LongestTrx	N
HYOU1	NM_006389	MANE	N
HYPK	NM_016400	MANE	Y
IAH1	NM_001039613	MANE	Y
IAPP	NM_000415	MANE	Y
IARS1	NM_002161	MANE	Y
IARS2	NM_018060	MANE	Y
IATPR	NR_160030	LongestTrx	N
IBA57	NM_001010867	MANE	Y
IBA57-DT	NR_103539	LongestTrx	N
IBSP	NM_004967	MANE	Y
IBTK	NM_015525	MANE	Y
ICA1	NM_001136020	MANE	N
ICA1L	NM_001288622	MANE	N
ICAM1	NM_000201	MANE	Y
ICAM2	NM_001099789	MANE	Y
ICAM3	NM_002162	MANE	Y
ICAM4	NM_001544	MANE	N
ICAM5	NM_003259	MANE	Y
ICE1	NM_015325	MANE	Y
ICE2	NM_024611	MANE	Y
ICMT	NM_012405	MANE	Y
ICOS	NM_012092	MANE	Y
ICOSLG	NM_015259	UniProt	Y
ID1	NM_002165	MANE	Y
ID2	NM_002166	MANE	Y
ID2-AS1	NR_110154	LongestTrx	N
ID3	NM_002167	MANE	Y
ID4	NM_001546	MANE	Y
IDE	NM_004969	MANE	Y
IDH1	NM_005896	MANE	Y
IDH1-AS1	NR_046452	LongestTrx	Y
IDH2	NM_002168	MANE	Y
IDH2-DT	NR_149130	LongestTrx	N
IDH3A	NM_005530	MANE	Y
IDH3B	NM_006899	MANE	Y
IDH3G	NM_004135	MANE	Y
IDI1	NM_004508	MANE	Y
IDI2	NM_033261	MANE	Y
IDI2-AS1	NR_024629	LongestTrx	N
IDNK	NM_001001551	MANE	Y
IDO1	NM_002164	MANE	Y
IDO2	NM_194294	UniProt	Y
IDS	NM_000202	MANE	Y
IDUA	NM_000203	MANE	Y
IER2	NM_004907	MANE	Y
IER3	NM_003897	MANE	Y
IER3-AS1	NR_149095	LongestTrx	Y
IER3IP1	NM_016097	MANE	Y
IER5	NM_016545	MANE	Y
IER5L	NM_203434	MANE	Y
IFFO1	NM_001193457	MANE	Y
IFFO2	NM_001136265	MANE	Y
IFI16	NM_001376587	MANE	N
IFI27	NM_005532	UniProt	N
IFI27L1	NM_206949	MANE	N
IFI27L2	NM_032036	MANE	Y
IFI30	NM_006332	MANE	Y
IFI35	NM_001330230	MANE	N
IFI44	NM_006417	MANE	Y
IFI44L	NM_006820	MANE	Y
IFI6	NM_002038	MANE	N
IFIH1	NM_022168	MANE	Y
IFIT1	NM_001548	MANE	Y
IFIT1B	NM_001010987	MANE	Y
IFIT2	NM_001547	MANE	Y
IFIT3	NM_001549	MANE	N
IFIT5	NM_012420	MANE	Y
IFITM1	NM_003641	MANE	Y
IFITM10	NM_001170820	MANE	Y
IFITM2	NM_006435	UniProt	Y
IFITM3	NM_021034	MANE	Y
IFITM4P	NR_001590	LongestTrx	Y
IFITM5	NM_001025295	MANE	Y
IFNA1	NM_024013	MANE	Y
IFNA10	NM_002171	MANE	Y
IFNA13	NM_006900	UniProt	Y
IFNA14	NM_002172	MANE	Y
IFNA16	NM_002173	MANE	Y
IFNA17	NM_021268	MANE	Y
IFNA2	NM_000605	MANE	Y
IFNA21	NM_002175	MANE	Y
IFNA22P	NR_036676	LongestTrx	Y
IFNA4	NM_021068	UniProt	Y
IFNA5	NM_002169	MANE	Y
IFNA6	NM_021002	UniProt	Y
IFNA7	NM_021057	MANE	Y
IFNA8	NM_002170	MANE	Y
IFNAR1	NM_000629	MANE	Y
IFNAR2	NM_001289125	MANE	N
IFNB1	NM_002176	MANE	Y
IFNE	NM_176891	MANE	Y
IFNG	NM_000619	MANE	Y
IFNG-AS1	NR_104125	LongestTrx	N
IFNGR1	NM_000416	MANE	Y
IFNGR2	NM_005534	MANE	Y
IFNK	NM_020124	MANE	Y
IFNL1	NM_172140	MANE	Y
IFNL2	NM_172138	MANE	Y
IFNL3	NM_172139	MANE	Y
IFNL4	NM_001276254	UniProt	N
IFNLR1	NM_170743	MANE	Y
IFNW1	NM_002177	MANE	Y
IFRD1	NM_001550	MANE	N
IFRD2	NM_006764	MANE	Y
IFT122	NM_052989	MANE	Y
IFT140	NM_014714	MANE	Y
IFT172	NM_015662	MANE	Y
IFT20	NM_001267776	MANE	N
IFT22	NM_022777	MANE	Y
IFT27	NM_001177701	MANE	Y
IFT43	NM_001102564	MANE	Y
IFT46	NM_001168618	MANE	N
IFT52	NM_016004	MANE	Y
IFT57	NM_018010	MANE	Y
IFT74	NM_025103	MANE	Y
IFT74-AS1	NR_121605	LongestTrx	N
IFT80	NM_020800	MANE	Y
IFT81	NM_014055	MANE	N
IFT88	NM_006531	MANE	Y
IFTAP	NM_138787	MANE	N
IGBP1	NM_001551	MANE	Y
IGBP1P1	NR_002937	LongestTrx	Y
IGDCC3	NM_004884	MANE	Y
IGDCC4	NM_020962	MANE	Y
IGF1	NM_000618	MANE	N
IGF1R	NM_000875	MANE	Y
IGF2	NM_000612	MANE	N
IGF2-AS	NR_133657	LongestTrx	N
IGF2BP1	NM_006546	MANE	Y
IGF2BP2	NM_006548	MANE	Y
IGF2BP2-AS1	NR_126326	LongestTrx	N
IGF2BP3	NM_006547	MANE	Y
IGF2R	NM_000876	MANE	Y
IGFALS	NM_004970	MANE	N
IGFBP1	NM_000596	MANE	Y
IGFBP2	NM_000597	MANE	Y
IGFBP3	NM_000598	MANE	N
IGFBP4	NM_001552	MANE	Y
IGFBP5	NM_000599	MANE	Y
IGFBP6	NM_002178	MANE	Y
IGFBP7	NM_001553	MANE	Y
IGFBP7-AS1	NR_034081	LongestTrx	Y
IGFBPL1	NM_001007563	MANE	Y
IGFL1	NM_198541	MANE	Y
IGFL2	NM_001002915	UniProt	N
IGFL2-AS1	NR_135234	LongestTrx	N
IGFL3	NM_207393	MANE	Y
IGFL4	NM_001002923	UniProt	Y
IGFLR1	NM_024660	MANE	Y
IGFN1	NM_001164586	MANE	Y
IGHMBP2	NM_002180	MANE	Y
IGHV1OR15-1	NR_135694	LongestTrx	Y
IGHV1OR15-3	NR_135666	LongestTrx	Y
IGIP	NM_001007189	MANE	Y
IGLL1	NM_020070	MANE	Y
IGLL3P	NR_029395	LongestTrx	Y
IGLL5	NM_001178126	MANE	N
IGLON5	NM_001101372	MANE	Y
IGSF1	NM_001555	MANE	N
IGSF10	NM_178822	MANE	Y
IGSF11	NM_001015887	MANE	Y
IGSF11-AS1	NR_046230	LongestTrx	Y
IGSF21	NM_032880	MANE	Y
IGSF22	NM_173588	MANE	Y
IGSF23	NM_001205280	MANE	Y
IGSF3	NM_001007237	MANE	N
IGSF5	NM_001080444	UniProt	Y
IGSF6	NM_005849	MANE	Y
IGSF8	NM_052868	MANE	N
IGSF9	NM_001135050	MANE	Y
IGSF9B	NM_001277285	MANE	Y
IHH	NM_002181	MANE	Y
IHO1	NM_001135197	MANE	Y
IK	NM_006083	MANE	Y
IKBIP	NM_153687	MANE	Y
IKBKB	NM_001556	MANE	Y
IKBKB-DT	NR_125823	LongestTrx	N
IKBKE	NM_014002	MANE	Y
IKBKG	NM_001099857	MANE	N
IKZF1	NM_006060	MANE	Y
IKZF2	NM_001387220	MANE	N
IKZF3	NM_012481	MANE	Y
IKZF4	NM_022465	MANE	Y
IKZF5	NM_001372123	MANE	N
IL10	NM_000572	MANE	Y
IL10RA	NM_001558	MANE	Y
IL10RB	NM_000628	MANE	N
IL10RB-DT	NR_038974	LongestTrx	Y
IL11	NM_000641	MANE	Y
IL11RA	NM_001142784	MANE	Y
IL12A	NM_000882	MANE	Y
IL12A-AS1	NR_108088	LongestTrx	N
IL12B	NM_002187	MANE	Y
IL12RB1	NM_005535	MANE	Y
IL12RB2	NM_001374259	MANE	N
IL13	NM_002188	MANE	Y
IL13RA1	NM_001560	MANE	Y
IL13RA2	NM_000640	MANE	Y
IL15	NM_000585	MANE	Y
IL15RA	NM_002189	MANE	N
IL16	NM_172217	MANE	Y
IL17A	NM_002190	MANE	Y
IL17B	NM_014443	MANE	Y
IL17C	NM_013278	MANE	Y
IL17D	NM_001385224	MANE	N
IL17F	NM_052872	MANE	Y
IL17RA	NM_014339	MANE	Y
IL17RB	NM_018725	MANE	Y
IL17RC	NM_153460	MANE	N
IL17RD	NM_017563	MANE	Y
IL17RE	NM_153480	MANE	N
IL17REL	NM_001001694	UniProt	Y
IL18	NM_001562	MANE	Y
IL18BP	NM_001039660	MANE	Y
IL18R1	NM_003855	MANE	Y
IL18RAP	NM_003853	UniProt	Y
IL19	NM_013371	UniProt	N
IL1A	NM_000575	MANE	Y
IL1B	NM_000576	MANE	Y
IL1F10	NM_173161	MANE	Y
IL1R1	NM_000877	MANE	Y
IL1R2	NM_004633	MANE	Y
IL1RAP	NM_002182	MANE	N
IL1RAPL1	NM_014271	MANE	Y
IL1RAPL2	NM_017416	MANE	Y
IL1RL1	NM_016232	MANE	Y
IL1RL2	NM_003854	MANE	Y
IL1RN	NM_173842	MANE	Y
IL2	NM_000586	MANE	Y
IL20	NM_018724	MANE	Y
IL20RA	NM_014432	MANE	Y
IL20RB	NM_144717	MANE	Y
IL21	NM_021803	MANE	Y
IL21-AS1	NR_104126	LongestTrx	N
IL21R	NM_181078	MANE	N
IL21R-AS1	NR_037158	LongestTrx	Y
IL22	NM_020525	MANE	Y
IL22RA1	NM_021258	MANE	Y
IL22RA2	NM_052962	MANE	Y
IL23A	NM_016584	MANE	Y
IL23R	NM_144701	MANE	Y
IL24	NM_006850	MANE	N
IL25	NM_022789	UniProt	N
IL26	NM_018402	MANE	Y
IL27	NM_145659	MANE	Y
IL27RA	NM_004843	MANE	Y
IL2RA	NM_000417	MANE	Y
IL2RB	NM_000878	MANE	Y
IL2RG	NM_000206	MANE	Y
IL3	NM_000588	MANE	Y
IL31	NM_001014336	MANE	Y
IL31RA	NM_139017	MANE	Y
IL32	NM_001376923	MANE	N
IL33	NM_033439	MANE	Y
IL34	NM_152456	UniProt	Y
IL36A	NM_014440	MANE	Y
IL36B	NM_014438	MANE	Y
IL36G	NM_019618	MANE	Y
IL36RN	NM_012275	MANE	Y
IL37	NM_014439	MANE	Y
IL3RA	NM_002183	MANE	Y
IL4	NM_000589	MANE	Y
IL4I1	NM_152899	MANE	Y
